              3          0.27685699           0.0000000
              4          0.21245296        0.0010000000
              5          0.17049197        0.0040000000
              6          0.15463692         0.013000000
              7          0.15442207         0.031000000
              8          0.16112542         0.070000000
              9          0.16950536          0.14400000
             10          0.17708077          0.26700000
             11          0.18302186          0.48000000
             12          0.18730541          0.80500000
             13          0.19021766           1.3220000
             14          0.19210774           2.0500000
             15          0.19328534           3.0870000
             16          0.19399061           4.5130000
             17          0.19439573           6.5190000
             18          0.19461750           9.2200000
             19          0.19473169           12.861000
             20          0.19478558           17.406000
             21          0.19480743           23.041000
             22          0.19481345           30.754000
             23          0.19481241           39.886000
             24          0.19480869           51.826000
             25          0.19480423           66.259000
             26          0.19479970           83.274000
             27          0.19479511           104.67700
             28          0.19479025           130.59800
